Title,genres,director,actors
blitz,"['Drama', 'History', 'War']",['Steve McQueen '],"['Saoirse Ronan', 'Elliott Heffernan', 'Harris Dickinson']"
a real pain,"['Comedy', 'Drama']",['Jesse Eisenberg '],"['Jesse Eisenberg', 'Kieran Culkin', 'Will Sharpe']"
the gutter,['Comedy'],[' Isaiah Lester '],"['Shameik Moore', 'Susan Sarandon', ""D'Arcy Carden""]"
the graduates,['Drama'],['Hannah Peterson '],"['Mina Sundwall', 'Alex R. Hibbert', 'Yasmeen Fletcher']"
lost on a mountain in maine,"['Adventure', 'Drama', 'Family']",['Andrew Boodhoo Kightlinger '],"['Luke David Blumm', 'Paul Sparks', 'Caitlin FitzGerald']"
meet me next christmas,"['Comedy', 'Romance']",['Rusty Cundieff '],"['Christina Milian', 'Devale Ellis', 'Kofi Siriboe']"
heretic,"['Horror', 'Thriller']",['Scott Beck and Bryan Woods '],"['Hugh Grant', 'Sophie Thatcher', 'Chloe East']"
the best christmas pageant ever,"['Comedy', 'Drama', 'Family']",['Dallas Jenkins '],"['Judy Greer', 'Pete Holmes', 'Lauren Graham']"
the piano lesson,['Drama'],['Malcolm Washington '],"['Samuel L. Jackson', 'John David Washington', 'Ray Fisher']"
elevation,"['Action', 'Science Fiction', 'Thriller']",['George Nolfi '],"['Anthony Mackie', 'Morena Baccarin', 'Maddie Hasson']"
bird,"['Drama', 'Music']",['Andrea Arnold '],"['Nykiya Adams', 'Barry Keoghan', 'Franz Rogowski']"
love bomb,['Thriller'],['David Guglielmo '],"['Jessie Andrews', 'Zane Holtz', 'Josh Caras']"
hot frosty,"['Romance', 'Comedy']",['Jerry Ciccoritti '],"['Lacey Chabert', 'Dustin Milligan', 'Craig Robinson']"
red one,"['Comedy', 'Action', 'Fantasy']",['Jake Kasdan '],"['Dwayne Johnson', 'Chris Evans', 'Lucy Liu']"
christmas eve in miller's point,"['Drama', 'Comedy']",['Tyler Taormina '],"['Michael Cera', 'Francesca Scorsese', 'Gregg Turkington']"
daruma,['Drama'],['Alexander Yellen '],"['Tobias Forrest', 'Victoria Scott', 'John W. Lawson']"
breakup season,"['Drama', 'Comedy', 'Romance']",[' Nelson Tracey '],"['Chandler Riggs', 'Samantha Isler', 'Jacob Wysocki']"
the merry gentlemen,"['Romance', 'Comedy']",['Peter Sullivan '],"['Britt Robertson', 'Chad Michael Murray', 'Marla Sokoloff']"
gladiator ii,"['Action', 'Adventure']",['Ridley Scott '],"['Paul Mescal', 'Pedro Pascal', 'Connie Nielsen']"
wicked,"['Drama', 'Fantasy', 'Romance']",[' Chu '],"['Cynthia Erivo', 'Ariana Grande', 'Michelle Yeoh']"
spellbound,"['Thriller', 'Mystery', 'Romance']",['Vicky Jenson '],"['Rachel Zegler', 'John Lithgow', 'Jenifer Lewis']"
